participant_id,group,type,sentence_id,sentence,condition,lexicalization,value
J2992,,training,T1,Коля пришел домой.,,,5
J2992,,training,T2,Дети пришел домой.,,,5
J2992,,training,T3,Большинство гостей уже ушло.,,,5
J2992,,filler_pos,FP3,Петя купил очень красивое пальто.,,,1
J2992,A,stimulus,SQ2,Каждый участник конкурса спел какую-нибудь песню.,quantified,2,5
J2992,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,5
J2992,A,stimulus,SM4,Катя должна рассказать какой-нибудь анекдот.,modalized,4,5
J2992,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
J2992,A,stimulus,SM3,Катя должна показать какой-нибудь фокус.,modalized,3,5
J2992,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
J2992,A,stimulus,SQ3,Каждый участник конкурса показал какой-нибудь фокус.,quantified,3,5
J2992,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,5
J2992,A,stimulus,SE1,Маша загадала какое-нибудь число.,episodic,1,5
J2992,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
J2992,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,5
J2992,A,stimulus,SE2,Маша спела какую-нибудь песню.,episodic,2,5
S4675,,training,T1,Коля пришел домой.,,,5
S4675,,training,T2,Дети пришел домой.,,,1
S4675,,training,T3,Большинство гостей уже ушло.,,,5
S4675,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,1
S4675,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
S4675,B,stimulus,SM1,Катя должна загадать какое-нибудь число.,modalized,1,5
S4675,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
S4675,B,stimulus,SM2,Катя должна спеть какую-нибудь песню.,modalized,2,1
S4675,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,1
S4675,B,stimulus,SE3,Маша показала какой-нибудь фокус.,episodic,3,1
S4675,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,1
S4675,B,stimulus,SQ1,Каждый участник конкурса загадал какое-нибудь число.,quantified,1,5
S4675,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
S4675,B,stimulus,SQ4,Каждый участник конкурса рассказал какой-нибудь анекдот.,quantified,4,1
S4675,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
S4675,B,stimulus,SE4,Маша рассказала какой-нибудь анекдот.,episodic,4,1
L897,,training,T1,Коля пришел домой.,,,5
L897,,training,T2,Дети пришел домой.,,,1
L897,,training,T3,Большинство гостей уже ушло.,,,5
L897,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,2
L897,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
L897,B,stimulus,SQ1,Каждый участник конкурса загадал какое-нибудь число.,quantified,1,5
L897,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,5
L897,B,stimulus,SM1,Катя должна загадать какое-нибудь число.,modalized,1,5
L897,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
L897,B,stimulus,SE4,Маша рассказала какой-нибудь анекдот.,episodic,4,2
L897,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,5
L897,B,stimulus,SQ4,Каждый участник конкурса рассказал какой-нибудь анекдот.,quantified,4,3
L897,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
L897,B,stimulus,SM2,Катя должна спеть какую-нибудь песню.,modalized,2,5
L897,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,3
L897,B,stimulus,SE3,Маша показала какой-нибудь фокус.,episodic,3,5
Y1422,,training,T1,Коля пришел домой.,,,5
Y1422,,training,T2,Дети пришел домой.,,,1
Y1422,,training,T3,Большинство гостей уже ушло.,,,5
Y1422,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,3
Y1422,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,3
Y1422,A,stimulus,SE2,Маша спела какую-нибудь песню.,episodic,2,3
Y1422,,filler_pos,FP3,Петя купил очень красивое пальто.,,,3
Y1422,A,stimulus,SE1,Маша загадала какое-нибудь число.,episodic,1,3
Y1422,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,3
Y1422,A,stimulus,SQ3,Каждый участник конкурса показал какой-нибудь фокус.,quantified,3,3
Y1422,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,3
Y1422,A,stimulus,SM3,Катя должна показать какой-нибудь фокус.,modalized,3,3
Y1422,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,3
Y1422,A,stimulus,SM4,Катя должна рассказать какой-нибудь анекдот.,modalized,4,3
Y1422,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,3
Y1422,A,stimulus,SQ2,Каждый участник конкурса спел какую-нибудь песню.,quantified,2,3
T3372,,training,T1,Коля пришел домой.,,,3
T3372,,training,T2,Дети пришел домой.,,,4
T3372,,training,T3,Большинство гостей уже ушло.,,,2
T3372,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,5
T3372,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
T3372,A,stimulus,SM3,Катя должна показать какой-нибудь фокус.,modalized,3,5
T3372,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,3
T3372,A,stimulus,SQ2,Каждый участник конкурса спел какую-нибудь песню.,quantified,2,3
T3372,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,1
T3372,A,stimulus,SE1,Маша загадала какое-нибудь число.,episodic,1,5
T3372,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
T3372,A,stimulus,SE2,Маша спела какую-нибудь песню.,episodic,2,2
T3372,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
T3372,A,stimulus,SQ3,Каждый участник конкурса показал какой-нибудь фокус.,quantified,3,2
T3372,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,5
T3372,A,stimulus,SM4,Катя должна рассказать какой-нибудь анекдот.,modalized,4,5
X7196,,training,T1,Коля пришел домой.,,,5
X7196,,training,T2,Дети пришел домой.,,,1
X7196,,training,T3,Большинство гостей уже ушло.,,,5
X7196,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
X7196,B,stimulus,SM2,Катя должна спеть какую-нибудь песню.,modalized,2,5
X7196,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
X7196,B,stimulus,SE3,Маша показала какой-нибудь фокус.,episodic,3,1
X7196,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
X7196,B,stimulus,SQ4,Каждый участник конкурса рассказал какой-нибудь анекдот.,quantified,4,1
X7196,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,1
X7196,B,stimulus,SQ1,Каждый участник конкурса загадал какое-нибудь число.,quantified,1,5
X7196,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,2
X7196,B,stimulus,SM1,Катя должна загадать какое-нибудь число.,modalized,1,5
X7196,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,2
X7196,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
X7196,B,stimulus,SE4,Маша рассказала какой-нибудь анекдот.,episodic,4,2
J3943,,training,T1,Коля пришел домой.,,,5
J3943,,training,T2,Дети пришел домой.,,,1
J3943,,training,T3,Большинство гостей уже ушло.,,,5
J3943,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
J3943,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,1
J3943,B,stimulus,SM1,Катя должна загадать какое-нибудь число.,modalized,1,5
J3943,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,3
J3943,B,stimulus,SQ4,Каждый участник конкурса рассказал какой-нибудь анекдот.,quantified,4,4
J3943,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
J3943,B,stimulus,SQ1,Каждый участник конкурса загадал какое-нибудь число.,quantified,1,4
J3943,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,5
J3943,B,stimulus,SE4,Маша рассказала какой-нибудь анекдот.,episodic,4,1
J3943,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
J3943,B,stimulus,SM2,Катя должна спеть какую-нибудь песню.,modalized,2,5
J3943,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
J3943,B,stimulus,SE3,Маша показала какой-нибудь фокус.,episodic,3,1
T1439,,training,T1,Коля пришел домой.,,,5
T1439,,training,T2,Дети пришел домой.,,,1
T1439,,training,T3,Большинство гостей уже ушло.,,,1
T1439,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,1
T1439,B,stimulus,SE4,Маша рассказала какой-нибудь анекдот.,episodic,4,1
T1439,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,4
T1439,B,stimulus,SE3,Маша показала какой-нибудь фокус.,episodic,3,4
T1439,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
T1439,B,stimulus,SM1,Катя должна загадать какое-нибудь число.,modalized,1,5
T1439,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
T1439,B,stimulus,SQ1,Каждый участник конкурса загадал какое-нибудь число.,quantified,1,5
T1439,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,5
T1439,B,stimulus,SM2,Катя должна спеть какую-нибудь песню.,modalized,2,5
T1439,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
T1439,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,2
T1439,B,stimulus,SQ4,Каждый участник конкурса рассказал какой-нибудь анекдот.,quantified,4,5
J3289,,training,T1,Коля пришел домой.,,,3
J3289,,training,T2,Дети пришел домой.,,,1
J3289,,training,T3,Большинство гостей уже ушло.,,,1
J3289,,filler_pos,FP3,Петя купил очень красивое пальто.,,,4
J3289,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,4
J3289,B,stimulus,SE3,Маша показала какой-нибудь фокус.,episodic,3,2
J3289,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,4
J3289,B,stimulus,SQ1,Каждый участник конкурса загадал какое-нибудь число.,quantified,1,3
J3289,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,3
J3289,B,stimulus,SM2,Катя должна спеть какую-нибудь песню.,modalized,2,3
J3289,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,3
J3289,B,stimulus,SQ4,Каждый участник конкурса рассказал какой-нибудь анекдот.,quantified,4,3
J3289,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,3
J3289,B,stimulus,SM1,Катя должна загадать какое-нибудь число.,modalized,1,3
J3289,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,3
J3289,B,stimulus,SE4,Маша рассказала какой-нибудь анекдот.,episodic,4,3
H8364,,training,T1,Коля пришел домой.,,,5
H8364,,training,T2,Дети пришел домой.,,,1
H8364,,training,T3,Большинство гостей уже ушло.,,,3
H8364,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,1
H8364,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
H8364,A,stimulus,SM3,Катя должна показать какой-нибудь фокус.,modalized,3,5
H8364,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
H8364,A,stimulus,SQ2,Каждый участник конкурса спел какую-нибудь песню.,quantified,2,4
H8364,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
H8364,A,stimulus,SQ3,Каждый участник конкурса показал какой-нибудь фокус.,quantified,3,4
H8364,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,1
H8364,A,stimulus,SE1,Маша загадала какое-нибудь число.,episodic,1,2
H8364,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,1
H8364,A,stimulus,SM4,Катя должна рассказать какой-нибудь анекдот.,modalized,4,5
H8364,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
H8364,A,stimulus,SE2,Маша спела какую-нибудь песню.,episodic,2,1
N6969,,training,T1,Коля пришел домой.,,,5
N6969,,training,T2,Дети пришел домой.,,,1
N6969,,training,T3,Большинство гостей уже ушло.,,,4
N6969,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
N6969,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
N6969,B,stimulus,SQ1,Каждый участник конкурса загадал какое-нибудь число.,quantified,1,4
N6969,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,4
N6969,B,stimulus,SM2,Катя должна спеть какую-нибудь песню.,modalized,2,4
N6969,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,4
N6969,B,stimulus,SE4,Маша рассказала какой-нибудь анекдот.,episodic,4,3
N6969,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
N6969,B,stimulus,SE3,Маша показала какой-нибудь фокус.,episodic,3,1
N6969,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
N6969,B,stimulus,SQ4,Каждый участник конкурса рассказал какой-нибудь анекдот.,quantified,4,4
N6969,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,2
N6969,B,stimulus,SM1,Катя должна загадать какое-нибудь число.,modalized,1,5
N7873,,training,T1,Коля пришел домой.,,,NULL
N7873,,training,T2,Дети пришел домой.,,,5
N7873,,training,T3,Большинство гостей уже ушло.,,,5
N7873,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,5
N7873,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,5
N7873,A,stimulus,SM4,Катя должна рассказать какой-нибудь анекдот.,modalized,4,5
N7873,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,5
N7873,A,stimulus,SM3,Катя должна показать какой-нибудь фокус.,modalized,3,5
N7873,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
N7873,A,stimulus,SE2,Маша спела какую-нибудь песню.,episodic,2,5
N7873,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
N7873,A,stimulus,SQ3,Каждый участник конкурса показал какой-нибудь фокус.,quantified,3,5
N7873,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
N7873,A,stimulus,SQ2,Каждый участник конкурса спел какую-нибудь песню.,quantified,2,5
N7873,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,5
N7873,A,stimulus,SE1,Маша загадала какое-нибудь число.,episodic,1,5
O9433,,training,T1,Коля пришел домой.,,,4
O9433,,training,T2,Дети пришел домой.,,,1
O9433,,training,T3,Большинство гостей уже ушло.,,,5
O9433,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
O9433,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
O9433,A,stimulus,SE2,Маша спела какую-нибудь песню.,episodic,2,1
O9433,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,1
O9433,A,stimulus,SE1,Маша загадала какое-нибудь число.,episodic,1,1
O9433,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,1
O9433,A,stimulus,SM3,Катя должна показать какой-нибудь фокус.,modalized,3,5
O9433,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
O9433,A,stimulus,SQ2,Каждый участник конкурса спел какую-нибудь песню.,quantified,2,1
O9433,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
O9433,A,stimulus,SM4,Катя должна рассказать какой-нибудь анекдот.,modalized,4,3
O9433,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,5
O9433,A,stimulus,SQ3,Каждый участник конкурса показал какой-нибудь фокус.,quantified,3,3
H5474,,training,T1,Коля пришел домой.,,,5
H5474,,training,T2,Дети пришел домой.,,,1
H5474,,training,T3,Большинство гостей уже ушло.,,,1
H5474,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,5
H5474,B,stimulus,SM1,Катя должна загадать какое-нибудь число.,modalized,1,5
H5474,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,1
H5474,B,stimulus,SE3,Маша показала какой-нибудь фокус.,episodic,3,1
H5474,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
H5474,B,stimulus,SE4,Маша рассказала какой-нибудь анекдот.,episodic,4,1
H5474,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
H5474,B,stimulus,SM2,Катя должна спеть какую-нибудь песню.,modalized,2,5
H5474,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
H5474,B,stimulus,SQ1,Каждый участник конкурса загадал какое-нибудь число.,quantified,1,5
H5474,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,1
H5474,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,1
H5474,B,stimulus,SQ4,Каждый участник конкурса рассказал какой-нибудь анекдот.,quantified,4,5
I3539,,training,T1,Коля пришел домой.,,,5
I3539,,training,T2,Дети пришел домой.,,,2
I3539,,training,T3,Большинство гостей уже ушло.,,,5
I3539,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,5
I3539,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
I3539,B,stimulus,SE3,Маша показала какой-нибудь фокус.,episodic,3,1
I3539,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
I3539,B,stimulus,SM2,Катя должна спеть какую-нибудь песню.,modalized,2,3
I3539,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
I3539,B,stimulus,SQ1,Каждый участник конкурса загадал какое-нибудь число.,quantified,1,5
I3539,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,4
I3539,B,stimulus,SQ4,Каждый участник конкурса рассказал какой-нибудь анекдот.,quantified,4,2
I3539,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,5
I3539,B,stimulus,SE4,Маша рассказала какой-нибудь анекдот.,episodic,4,4
I3539,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
I3539,B,stimulus,SM1,Катя должна загадать какое-нибудь число.,modalized,1,5
N4513,,training,T1,Коля пришел домой.,,,5
N4513,,training,T2,Дети пришел домой.,,,2
N4513,,training,T3,Большинство гостей уже ушло.,,,5
N4513,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,2
N4513,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,1
N4513,B,stimulus,SM2,Катя должна спеть какую-нибудь песню.,modalized,2,5
N4513,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
N4513,B,stimulus,SQ4,Каждый участник конкурса рассказал какой-нибудь анекдот.,quantified,4,5
N4513,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
N4513,B,stimulus,SE4,Маша рассказала какой-нибудь анекдот.,episodic,4,2
N4513,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,1
N4513,B,stimulus,SM1,Катя должна загадать какое-нибудь число.,modalized,1,5
N4513,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
N4513,B,stimulus,SE3,Маша показала какой-нибудь фокус.,episodic,3,1
N4513,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
N4513,B,stimulus,SQ1,Каждый участник конкурса загадал какое-нибудь число.,quantified,1,5
X4748,,training,T1,Коля пришел домой.,,,5
X4748,,training,T2,Дети пришел домой.,,,1
X4748,,training,T3,Большинство гостей уже ушло.,,,5
X4748,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,3
X4748,B,stimulus,SE3,Маша показала какой-нибудь фокус.,episodic,3,3
X4748,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
X4748,B,stimulus,SQ4,Каждый участник конкурса рассказал какой-нибудь анекдот.,quantified,4,5
X4748,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
X4748,B,stimulus,SM1,Катя должна загадать какое-нибудь число.,modalized,1,5
X4748,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,5
X4748,B,stimulus,SE4,Маша рассказала какой-нибудь анекдот.,episodic,4,4
X4748,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,3
X4748,B,stimulus,SQ1,Каждый участник конкурса загадал какое-нибудь число.,quantified,1,4
X4748,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,3
X4748,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
X4748,B,stimulus,SM2,Катя должна спеть какую-нибудь песню.,modalized,2,5
Z7061,,training,T1,Коля пришел домой.,,,5
Z7061,,training,T2,Дети пришел домой.,,,1
Z7061,,training,T3,Большинство гостей уже ушло.,,,1
Z7061,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,1
Z7061,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
Z7061,A,stimulus,SQ2,Каждый участник конкурса спел какую-нибудь песню.,quantified,2,5
Z7061,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
